TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
8.126984127,1.11336,0.187858,1.00586,0.240157,1.01476,0.308567,0.782232,0.14387,1.37016,0.000174245,0.0362173,1.01688
8.173424036,1.21089,0.187507,0.817073,0.357579,1.20863,0.0830993,1.16375,0.424597,1.00252,0.128381,0,0.464825
8.219863946,1.20534,0.443918,0.543335,1.00467,0.957986,0.135448,1.40268,0.40992,0.651032,0.360979,0.031951,0.0364627
8.266303855,1.04754,0.196372,0.41581,0.940515,1.05223,0.233223,1.52916,0.474459,0.63864,0.246798,0,0.0317985
8.312743764,1.13719,0.205603,0.503482,0.605828,1.06571,0.191254,1.27324,0.659164,0.558756,0.196368,0,0.936806
8.359183673,0.931706,0.214136,0.607047,0.532648,1.12351,0.235448,1.20971,0.656974,0.620574,0.188621,0.176098,1.0159
8.405623583,0.935783,0.257785,0.591729,0.624872,1.14908,0.159543,1.33176,0.600349,0.541245,0.205899,0.140997,0.84021
8.452063492,0.894104,0.242733,0.539478,0.441992,1.03816,0.222872,1.38156,0.747434,0.443825,0.189855,0,0.904902
8.498503401,1.08425,0.187335,0.33,0.529035,1.0456,0.234976,1.3328,0.771128,0.683326,0.171456,5.02048e-05,0.76742
8.544943311,1.0633,0.290351,0.393287,0.640809,1.07567,0.207343,1.29372,0.733902,0.622307,0.171646,0.0868832,0.687428
8.591383220,1.15657,0.307046,0.494598,0.835524,1.03331,0.0327298,1.35167,0.619455,0.538889,0.297001,0.0205643,0.46284
8.637823129,1.1658,0.2368,0.537596,1.06802,0.987257,0,1.27315,0.579679,0.367206,0.395708,0.0160659,0.261404
8.684263039,2.22731,0.408126,0.65225,1.44234,0.874224,0.0977781,1.00678,0.178311,0.173474,0.363339,0.157186,0.0387762
8.730702948,2.74966,0.631137,1.13243,0.919266,0.325426,0.107526,0.741767,0.00222074,0.306332,0.424614,0.558246,0.215473
8.777142857,1.76473,0.594506,1.09131,1.03677,0.0745575,0.261008,0.739869,0.260244,0.595381,0.423112,0.695826,0.234035
8.823582766,0.413796,0.671522,1.02751,1.33936,0.044312,0.136123,0.597556,1.03738,0.572375,0.401504,1.20261,0.290778
8.870022676,0.180208,0.855752,0.654873,2.36632,0.00654211,0.00637278,0.0368048,1.21678,0.542834,0.211826,1.05182,0.340715
8.916462585,0.147895,0.660829,0.382305,2.57137,0.00861876,0.117692,0.00709529,1.04216,0.718471,0.198374,0.521391,0.297067
8.962902494,0.522004,0.482304,0.573559,1.52061,0.73974,0.378449,0.0900367,1.56506,0.729431,0.00211401,0.531469,0.1828
9.009342404,0.842702,0.329745,0.471372,1.19912,0.885023,0.249659,0.667792,1.3565,0.591569,0.298424,0.0587142,0.0531617
9.055782313,0.92456,0.330374,0.354851,1.13827,0.99153,0.188119,0.992678,1.1675,0.545797,0.527053,0.0229139,0
9.102222222,0.940813,0.324951,0.450555,1.1635,0.953244,0.152964,1.16823,0.975433,0.532718,0.59568,0.0617888,0.062813
9.148662132,0.933014,0.278259,0.508211,1.25413,0.895479,0.11322,1.14785,1.00443,0.388308,0.669886,0.0952978,0.224932
9.195102041,0.817012,0.504927,0.537139,1.72899,0.76564,0.056377,0.952494,0.876402,0.218084,0.607619,0.190652,0.20049
9.241541950,1.94827,0.572593,0.728072,2.0355,0.722326,0.0188965,0.724298,0.408558,0.206558,0.318049,0.679012,0.159524
9.287981859,1.33064,0.668259,0.997425,0.925172,0.0714427,0.923685,0.688519,1.10323,1.02184,0.00110251,0.518602,0.27968
9.334421769,1.11032,0.232378,0.953681,0.0142889,0.328934,1.5705,0.624217,0.212306,1.48062,0.00328127,0.0504944,1.41502
